file,algorithm,partitions,ingress,rf,total_ingress,compute_imbalance,total_time,total_network
pagerank-16-plsyncec-random_ec,pagerank,16,random_ec,6.94053,365.29,1.37150758409,419.827,100885918427
connected_component-8-plsync-dbh,connected_component,8,dbh,3.24191,1216.571,1.19517202611,250.748,48386634710
pagerank-128-plsync-hybrid_ginger,pagerank,128,hybrid_ginger,8.65329,816.438,1.23958461043,158.819,235262621198
sssp-16-plsync-ldg,sssp,16,ldg,5.60133,1517.161,1.37570970279,36.5887,43120426636
pagerank-32-plsync-ginger,pagerank,0,,0,0,1.0,0,0
sssp-32-plsyncec-ldg,sssp,32,ldg,7.58424,1849.3364,1.0,0,0
connected_component-32-plsyncec-ldg,connected_component,32,ldg,7.58424,1837.4671,1.10152149564,69.9923,50065900238
connected_component-128-plsyncec-random_ec,connected_component,128,random_ec,15.6226,252.1379,1.24892076585,69.9314,77808724985
pagerank-16-plsyncec-ldg,pagerank,16,ldg,5.60133,1488.266,2.10266644003,518.277,85782128830
connected_component-64-plsync-dbh,connected_component,64,dbh,6.79981,1490.529,1.04103893794,37.3456,90649564334
pagerank-64-plsync-hybrid_ginger,pagerank,64,hybrid_ginger,6.27724,742.764,1.3784161795,95.4097,160971984387
connected_component-128-plsync-ldg,connected_component,128,ldg,12.1405,5002.974,1.53949101544,81.7464,138349139710
connected_component-8-plsync-metis,connected_component,8,metis,3.01963,566.274,1.23234190009,280.233,30884805412
sssp_gather-32-plsyncec-ldg,sssp_gather,32,ldg,7.58424,1917.757,1.68559346936,90.0783,73671613852
pagerank-128-plsyncec-metis,pagerank,128,metis,9.54814,348.2707,1.5591402303,117.879,140688793028
sssp-128-plsync-metis,sssp,128,metis,9.54814,339.4472,1.47385679724,34.6771,55694329497
connected_component-128-plsync-hybrid_ginger,connected_component,128,hybrid_ginger,8.65329,822.502,1.13360576307,59.0632,129635697201
pagerank-128-plsyncec-fennel,pagerank,128,fennel,11.6343,5618.9481,3.0365848927,159.841,206446278815
connected_component-16-plsyncec-random_ec,connected_component,16,random_ec,6.94053,323.984,1.28036092322,120.549,38840525700
sssp-128-plsyncec-fennel,sssp,128,fennel,11.6343,5625.1661,1.0,0,0
connected_component-32-plsync-hybrid_ginger,connected_component,32,hybrid_ginger,4.61223,826.685,1.48902785405,76.6479,74592788229
sssp-64-plsync-dbh,sssp,64,dbh,6.79981,1202.15,1.13987627967,14.8809,80813081393
pagerank-16-plsync-hybrid,pagerank,16,hybrid,3.57002,839.323,1.40939538904,281.173,68849594223
sssp-64-plsync-fennel,sssp,64,fennel,9.24533,3043.8983,2.17942792632,20.0548,70780865615
sssp_gather-128-plsyncec-ldg,sssp_gather,128,ldg,12.1405,5024.1715,4.21319015759,82.8521,135409191494
sssp-16-plsyncec-random_ec,sssp,16,random_ec,6.94053,367.2512,1.06003052983,43.8308,40169344017
sssp-128-plsync-hybrid,sssp,128,hybrid,8.68501,717.0932,1.42048895967,30.1776,65636896541
sssp_gather-64-plsyncec-metis,sssp_gather,64,metis,7.54279,333.0941,1.81113162704,38.7898,66013754468
sssp_gather-64-plsyncec-ldg,sssp_gather,64,ldg,9.70161,2831.7408,2.07387173031,51.418,97955842379
sssp-32-plsyncec-fennel,sssp,32,fennel,7.11626,1871.9627,1.17597467566,28.7874,49326374607
connected_component-16-plsync-ldg,connected_component,16,ldg,5.60133,1604.08,1.50167575308,187.105,55614507970
sssp_gather-8-plsync-dbh,sssp_gather,8,dbh,3.24191,1219.442,1.17840686991,153.222,59331484409
connected_component-8-plsync-random,connected_component,8,random,5.99016,947.15,1.16923799425,394.929,55245226447
pagerank-8-plsyncec-metis,pagerank,8,metis,3.01963,576.103,1.50386843054,654.995,44322489559
connected_component-16-plsync-hybrid_ginger,connected_component,16,hybrid_ginger,3.49004,1030.801,1.43287711957,141.529,61922986736
sssp-32-plsync-grid,sssp,32,grid,0,0,1.0,0,0
sssp-64-plsyncec-ldg,sssp,64,ldg,9.70161,2819.6145,1.0,0,0
connected_component-64-plsyncec-ldg,connected_component,64,ldg,9.70161,2806.442,1.18377913453,39.5485,67969431184
pagerank-32-plsync-dbh,pagerank,32,dbh,5.48381,1045.489,1.40363487716,190.849,122570596578
connected_component-64-plsync-random,connected_component,64,random,17.8269,676.5979,1.3721442966,83.3729,146314780366
sssp_gather-8-plsync-random,sssp_gather,8,random,5.99016,963.488,1.15561852361,304.968,56304540263
pagerank-32-plsync-random,pagerank,32,random,13.4035,735.661,1.2111870938,496.531,287102945537
sssp-64-plsync-hybrid,sssp,64,hybrid,6.3201,666.8792,1.37723683746,13.2879,54932116273
connected_component-64-plsync-random_ec,connected_component,64,random_ec,12.4755,247.2098,1.15934448317,68.8155,104722394512
pagerank-32-plsyncec-fennel,pagerank,32,fennel,7.11626,1917.003,2.20454981912,331.588,112171372611
pagerank-8-plsync-hybrid_ginger,pagerank,8,hybrid_ginger,2.66676,1461.486,1.04530287065,647.099,67416197971
sssp-128-plsync-fennel,sssp,128,fennel,11.6343,5597.5562,1.0,0,0
connected_component-128-plsyncec-ldg,connected_component,128,ldg,12.1405,4942.2092,1.3089969069,73.1444,99378819672
pagerank-128-plsync-hybrid,pagerank,128,hybrid,8.68501,662.7162,1.29755321804,164.169,191033708933
sssp-64-plsync-hybrid_ginger,sssp,64,hybrid_ginger,6.27724,755.2734,1.51426377338,15.9974,90206887121
sssp-32-plsyncec-random_ec,sssp,32,random_ec,9.58776,277.6806,1.12931065436,26.7887,48442085154
pagerank-64-plsync-hybrid,pagerank,64,hybrid,6.3201,651.7152,1.62224343742,98.2585,132019528415
sssp_gather-32-plsyncec-metis,sssp_gather,32,metis,5.65917,403.0733,1.78392685584,74.4818,52458159483
sssp-16-plsync-fennel,sssp,16,fennel,5.09047,1340.152,1.6068869981,38.8998,41156664994
connected_component-32-plsync-hybrid,connected_component,32,hybrid,4.67776,731.3484,1.37949840611,70.9923,53132085213
sssp_gather-8-plsyncec-fennel,sssp_gather,8,fennel,3.5563,1282.718,1.53759914472,186.718,39360510238
pagerank-64-plsyncec-random_ec,pagerank,64,random_ec,12.4755,233.9075,1.25588119796,121.838,181036941261
pagerank-32-plsyncec-ldg,pagerank,32,ldg,7.58424,1895.3087,1.88836405756,287.91,118921787749
connected_component-32-plsyncec-fennel,connected_component,32,fennel,7.11626,1873.8962,1.33096066333,78.5857,48234552520
sssp-32-plsync-random,sssp,32,random,13.4035,732.6916,1.36884275405,35.6635,67588683877
connected_component-16-plsyncec-ldg,connected_component,16,ldg,5.60133,1351.701,1.58705893041,143.749,37635598561
sssp-128-plsync-dbh,sssp,128,dbh,8.33141,1830.066,1.15486133189,29.2028,106200335739
sssp-16-plsyncec-ldg,sssp,16,ldg,5.60133,1366.448,1.25812392601,42.8432,40065886348
connected_component-16-plsync-random,connected_component,16,random,9.35377,836.6,1.4695978604,227.444,81551436402
connected_component-64-plsyncec-random_ec,connected_component,64,random_ec,12.4755,234.4049,1.16893662612,42.9786,61406307451
sssp_gather-16-plsyncec-ldg,sssp_gather,16,ldg,5.60133,1525.218,1.90349372828,145.766,55393445781
sssp-32-plsync-random_ec,sssp,32,random_ec,9.58776,319.0556,1.44922359053,28.4395,54301795040
connected_component-32-plsync-fennel,connected_component,32,fennel,7.11626,1893.1071,1.51260196272,111.005,71769676818
sssp-16-plsync-hybrid,sssp,16,hybrid,3.57002,884.297,1.50798904613,27.1323,43481427932
connected_component-128-plsync-random_ec,connected_component,128,random_ec,15.6226,260.0021,1.21310603843,99.0415,129918040157
connected_component-32-plsync-dbh,connected_component,32,dbh,5.48381,1070.116,1.44958842658,71.0947,71750532285
sssp_gather-128-plsyncec-metis,sssp_gather,128,metis,9.54814,353.5381,1.72278138153,73.3181,82259598971
pagerank-16-plsyncec-metis,pagerank,16,metis,4.14916,522.38,1.70353382572,359.713,60625832442
connected_component-16-plsync-random_ec,connected_component,16,random_ec,6.94053,345.7163,1.38578023241,187.327,62192462717
pagerank-64-plsync-dbh,pagerank,64,dbh,6.79981,1541.85,1.45983142221,101.009,158373098072
sssp_gather-8-plsync-hybrid_ginger,sssp_gather,8,hybrid_ginger,2.66675,1450.03,1.05767088744,132.761,63997728427
pagerank-32-plsyncec-random_ec,pagerank,32,random_ec,9.58776,283.4421,1.44585885849,314.127,139116022401
connected_component-128-plsync-fennel,connected_component,128,fennel,11.6343,5603.6723,1.67371235077,74.9676,134607624820
pagerank-8-plsync-random,pagerank,8,random,5.99016,1025.904,1.48658584392,1303.68,126380425598
sssp-64-plsyncec-random_ec,sssp,64,random_ec,12.4755,249.5976,1.15344769158,16.4226,57624239612
sssp-32-plsync-dbh,sssp,32,dbh,5.48381,1039.178,1.4486006584,16.8364,66634344602
pagerank-64-plsyncec-ldg,pagerank,64,ldg,9.70161,2789.2249,2.44205933791,119.595,158711235563
connected_component-128-plsync-hybrid,connected_component,128,hybrid,8.68501,700.2392,1.2063351217,58.0843,85146635542
sssp-64-plsync-grid,sssp,64,grid,9.12598,692.9861,1.2451387543,15.0673,51592027397
sssp_gather-32-plsyncec-fennel,sssp_gather,32,fennel,7.11626,1947.8139,2.02693611038,101.999,70481797902
sssp-16-plsync-grid,sssp,16,grid,5.50259,829.817,1.54535212023,36.7006,37676528033
connected_component-32-plsyncec-random_ec,connected_component,32,random_ec,9.58776,262.3094,1.18063692936,73.1819,49436160371
connected_component-8-plsync-hybrid_ginger,connected_component,8,hybrid_ginger,2.66676,1497.845,1.05077218089,313.05,53048792969
sssp-32-plsync-metis,sssp,32,metis,5.65917,378.9334,1.0,0,0
pagerank-16-plsync-random,pagerank,16,random,9.35377,869.644,1.58332706,828.883,199939074769
connected_component-32-plsync-metis,connected_component,32,metis,5.65917,356.9675,1.55064249426,94.0589,51203620068
sssp-64-plsyncec-fennel,sssp,64,fennel,9.24533,3055.0266,1.31820416826,15.4177,65129554514
sssp-128-plsync-random,sssp,128,random,22.4973,718.897,1.14900728645,49.2693,103759842594
sssp-128-plsync-ldg,sssp,128,ldg,12.1405,4942.0638,1.0,0,0
connected_component-8-plsync-hybrid,connected_component,8,hybrid,2.74933,1040.691,1.02071539684,284.12,37422952990
pagerank-8-plsyncec-random_ec,pagerank,8,random_ec,4.65302,628.67,1.54217350236,787.563,67880912916
connected_component-64-plsync-fennel,connected_component,64,fennel,9.24533,3032.6973,1.29519179524,53.6714,97121542363
pagerank-16-plsync-dbh,pagerank,16,dbh,4.3073,1151.921,1.31156653519,309.225,95180873195
sssp-128-plsyncec-ldg,sssp,128,ldg,12.1405,4944.7502,1.0,0,0
pagerank-64-plsyncec-fennel,pagerank,64,fennel,9.24533,3018.2762,1.9035274922,97.0295,152127191912
connected_component-64-plsync-hybrid,connected_component,64,hybrid,6.3201,681.1311,1.20737930524,38.1087,65856195367
sssp_gather-8-plsync-hybrid,sssp_gather,8,hybrid,2.74933,1092.599,1.06599753088,123.529,42154194874
connected_component-8-plsync-fennel,connected_component,8,fennel,3.5563,1294.423,1.5632420762,332.191,37533837045
sssp-16-plsync-random_ec,sssp,16,random_ec,6.94053,392.85,1.38623192144,39.3543,44121622262
pagerank-32-plsync-hybrid,pagerank,32,hybrid,4.67776,706.2326,1.26387885617,153.189,93245851016
connected_component-32-plsync-ldg,connected_component,32,ldg,7.58424,2037.4238,1.25084513993,97.3972,75281720978
sssp-64-plsync-random,sssp,64,random,17.8269,719.3227,1.71957182446,23.9747,84537742813
pagerank-8-plsyncec-fennel,pagerank,8,fennel,3.5563,1293.305,1.55673577614,643.967,54028102943
pagerank-32-plsync-grid,pagerank,32,grid,0,0,1.0,0,0
pagerank-32-plsyncec-metis,pagerank,32,metis,5.65917,396.3874,1.89339475807,230.963,82450712702
pagerank-128-plsync-random,pagerank,128,random,22.4973,754.8961,1.43780628179,418.939,485505629369
pagerank-16-plsyncec-fennel,pagerank,16,fennel,5.09047,1399.912,2.1735733415,502.058,78413646806
pagerank-128-plsync-ginger,pagerank,0,,0,0,1.0,0,0
connected_component-8-plsync-random_ec,connected_component,8,random_ec,4.65302,610.055,1.45878767631,376.85,44367892923
connected_component-32-plsync-random_ec,connected_component,32,random_ec,9.58776,311.0895,1.42154637627,111.393,82574401412
sssp-128-plsync-grid,sssp,128,grid,0,0,1.0,0,0
connected_component-128-plsync-grid,connected_component,128,grid,0,0,1.0,0,0
sssp-128-plsync-hybrid_ginger,sssp,128,hybrid_ginger,8.65329,868.43,1.2637165868,29.8764,116135433619
connected_component-128-plsync-metis,connected_component,128,metis,9.54814,321.7084,1.54209160366,70.7217,82360731428
sssp-16-plsyncec-fennel,sssp,16,fennel,5.09047,1311.539,1.17346974629,43.4526,38466292089
pagerank-128-plsyncec-random_ec,pagerank,128,random_ec,15.6226,273.2168,1.43587316406,181.45,228340455726
sssp-64-plsync-metis,sssp,64,metis,7.54279,308.0086,1.0,0,0
connected_component-64-plsync-metis,connected_component,64,metis,7.54279,302.862,1.27176640385,38.8478,65686747628
connected_component-32-plsync-grid,connected_component,32,grid,0,0,1.0,0,0
sssp-32-plsync-ldg,sssp,32,ldg,7.58424,1849.7537,1.0,0,0
sssp_gather-16-plsyncec-metis,sssp_gather,16,metis,4.14916,525.537,1.64096297995,110.233,41898460227
sssp_gather-8-plsyncec-random_ec,sssp_gather,8,random_ec,4.65302,612.513,1.35010629371,219.857,44365395343
pagerank-8-plsyncec-ldg,pagerank,8,ldg,4.00342,1426.749,1.8526532841,824.935,60477002253
pagerank-16-plsync-ginger,pagerank,0,,0,0,1.0,0,0
sssp-32-plsync-hybrid_ginger,sssp,32,hybrid_ginger,4.61223,872.291,1.61239173122,21.6149,75826741829
connected_component-16-plsync-metis,connected_component,16,metis,4.14916,494.95,1.67162288415,162.348,39645782476
sssp-16-plsync-metis,sssp,16,metis,4.14916,484.977,1.57591832224,38.3701,33239277503
connected_component-128-plsync-dbh,connected_component,128,dbh,8.33141,1881.672,1.16280240307,51.7223,121524102553
connected_component-64-plsync-ldg,connected_component,64,ldg,9.70161,2898.6847,1.24840342513,51.5802,100519846505
connected_component-8-plsync-ldg,connected_component,8,ldg,4.00342,1414.962,1.59020853997,354.273,41027650513
sssp-16-plsync-dbh,sssp,16,dbh,4.3073,1154.561,1.51553080545,25.2718,57673891429
sssp-64-plsync-random_ec,sssp,64,random_ec,12.4755,264.6936,1.54575397499,20.8964,65558576519
pagerank-8-plsync-hybrid,pagerank,8,hybrid,2.74933,1048.189,1.01483050679,556.249,52290913148
sssp_gather-8-plsyncec-ldg,sssp_gather,8,ldg,4.00342,1408.354,1.71894234584,224.77,42277000079
sssp_gather-128-plsyncec-fennel,sssp_gather,128,fennel,11.6343,5683.343,4.02838003118,71.4411,131725353730
connected_component-128-plsync-random,connected_component,128,random,22.4973,724.5686,1.0726625686,123.946,182797998399
connected_component-16-plsyncec-fennel,connected_component,16,fennel,5.09047,1333.85,1.5066777604,140.999,35582676281
pagerank-16-plsync-grid,pagerank,16,grid,5.50259,871.142,1.68873349663,565.18,115633158263
sssp_gather-64-plsyncec-fennel,sssp_gather,64,fennel,9.24533,3062.4647,1.59135281778,46.5051,94758989811
pagerank-64-plsync-ginger,pagerank,0,,0,0,1.0,0,0
pagerank-16-plsync-hybrid_ginger,pagerank,16,hybrid_ginger,3.49004,1062.212,1.44520444331,299.513,85902490244
pagerank-64-plsync-grid,pagerank,64,grid,9.12598,677.9671,1.58292675993,115.348,195291882301
pagerank-128-plsync-dbh,pagerank,128,dbh,8.33141,2507.868,1.23977458234,146.497,210412304642
sssp_gather-8-plsyncec-metis,sssp_gather,8,metis,3.01963,563.185,1.41007748144,182.096,34203647522
connected_component-64-plsync-hybrid_ginger,connected_component,64,hybrid_ginger,6.27724,745.6802,1.22549407104,38.1444,95063150096
connected_component-16-plsync-dbh,connected_component,16,dbh,4.3073,1121.753,1.38365604728,123.449,58543177838
pagerank-64-plsync-random,pagerank,64,random,17.8269,698.0943,1.33821861481,273.511,382325151641
connected_component-64-plsyncec-fennel,connected_component,64,fennel,9.24533,3037.259,1.26292522194,42.9967,66223218546
connected_component-32-plsync-random,connected_component,32,random,13.4035,714.4476,1.46609539462,138.173,112644614326
sssp-64-plsync-ldg,sssp,64,ldg,9.70161,2810.3529,1.0,0,0
sssp_gather-16-plsyncec-fennel,sssp_gather,16,fennel,5.09047,1458.56,1.97785995352,152.202,52000864825
pagerank-8-plsync-dbh,pagerank,8,dbh,3.24191,1164.181,1.20667624908,526.638,72859428801
connected_component-16-plsync-fennel,connected_component,16,fennel,5.09047,1430.274,1.79655596523,203.206,51699663359
connected_component-128-plsyncec-fennel,connected_component,128,fennel,11.6343,5584.5567,1.27789925557,72.4177,97780154381
sssp-32-plsync-hybrid,sssp,32,hybrid,4.67776,693.1476,1.55026047937,17.9887,48205403937
pagerank-128-plsync-grid,pagerank,128,grid,0,0,1.0,0,0
sssp-16-plsync-hybrid_ginger,sssp,16,hybrid_ginger,3.49004,1003.412,1.47566230718,32.1342,67267639237
pagerank-128-plsyncec-ldg,pagerank,128,ldg,12.1405,4969.2912,3.25819741442,183.981,213751775259
sssp-32-plsync-fennel,sssp,32,fennel,7.11626,1890.8514,1.72239046682,27.6928,53442811962
connected_component-16-plsync-hybrid,connected_component,16,hybrid,3.57002,882.16,1.45356617048,139.801,44370469414
connected_component-16-plsync-grid,connected_component,16,grid,5.50259,852.273,1.4709137365,175.822,51427089848
pagerank-64-plsyncec-metis,pagerank,64,metis,7.54279,319.3384,1.6007004934,76.3175,109879075047
pagerank-32-plsync-hybrid_ginger,pagerank,32,hybrid_ginger,4.61223,899.111,1.24323764842,154.481,114277669285
sssp-128-plsync-random_ec,sssp,128,random_ec,15.6226,278.1003,1.23537659506,42.2072,79111238021
connected_component-64-plsync-grid,connected_component,64,grid,9.12598,679.7404,1.19705321202,40.4995,80085899429
sssp-128-plsyncec-random_ec,sssp,128,random_ec,15.6226,272.0879,1.24413047334,28.4607,68976658459
sssp-16-plsync-random,sssp,16,random,9.35377,810.7,1.37411638198,50.2036,52243374021
